publisher,year,scope,reported_category,tCo2e,notes,url,include
Sage,2022,n/a,n/a,n/a,,https://group.sagepub.com/sustainability,1
RELX,2006,1,Scope 1,"18,549",,https://www.relx.com/~/media/Files/R/RELX-Group/documents/responsibility/download-center/2010-cr-report.pdf,1
RELX,2007,1,Scope 1,"18,337",,https://www.relx.com/~/media/Files/R/RELX-Group/documents/responsibility/download-center/2010-cr-report.pdf,1
RELX,2008,1,Scope 1,"20,032",,https://www.relx.com/~/media/Files/R/RELX-Group/documents/responsibility/download-center/2010-cr-report.pdf,1
RELX,2009,1,Scope 1,"17,370",,https://www.relx.com/~/media/Files/R/RELX-Group/documents/responsibility/download-center/2010-cr-report.pdf,1
RELX,2010,1,Scope 1,"13,131",,https://www.relx.com/~/media/Files/R/RELX-Group/documents/responsibility/download-center/2010-cr-report.pdf,1
Springer Nature,2017,1,Scope 1,5079,,https://media.springernature.com/full/springer-cms/rest/v1/content/15569814/data/v5,1
Springer Nature,2018,1,Scope 1,5111,,https://sustainablebusiness.springernature.com/2018/,1
Springer Nature,2019,1,Scope 1,"4,847",,https://sustainablebusiness.springernature.com/2021/assets/files/sustainable-business-report-2021.pdf,1
Springer Nature,2020,1,Scope 1,"2,960",,https://sustainablebusiness.springernature.com/2021/assets/files/sustainable-business-report-2021.pdf,1
Springer Nature,2021,1,Scope 1,"2,910",,https://sustainablebusiness.springernature.com/2021/assets/files/sustainable-business-report-2021.pdf,1
RELX,2011,1,Scope 1 (direct emissions),"12,138",,https://www.relx.com/~/media/Files/R/RELX-Group/documents/responsibility/download-center/2011-cr-report.pdf,1
RELX,2012,1,Scope 1 (direct emissions),"10,752",,https://www.relx.com/~/media/Files/R/RELX-Group/documents/responsibility/download-center/2012-cr-report.pdf,1
RELX,2013,1,Scope 1 (direct emissions),"11,810",,https://www.relx.com/~/media/Files/R/RELX-Group/documents/responsibility/download-center/2013-cr-report.pdf,1
RELX,2014,1,Scope 1 (direct emissions),"8,932",,https://www.relx.com/~/media/Files/R/RELX-Group/documents/responsibility/download-center/2014-cr-report.pdf,1
RELX,2015,1,Scope 1 (direct emissions),"7,446",,https://www.relx.com/~/media/Files/R/RELX-Group/documents/responsibility/download-center/2015-cr-report.pdf,1
RELX,2017,1,Scope 1 (direct emissions),"8,231",,https://www.relx.com/~/media/Files/R/RELX-Group/documents/responsibility/download-center/relx2017-cr-report.pdf,1
RELX,2018,1,Scope 1 (direct emissions),"7,477",,https://www.relx.com/~/media/Files/R/RELX-Group/documents/responsibility/download-center/2018-cr-report.pdf,1
RELX,2019,1,Scope 1 (direct emissions),"7,848",,https://www.relx.com/~/media/Files/R/RELX-Group/documents/responsibility/download-center/2019-cr-report.pdf,1
RELX,2020,1,Scope 1 (direct emissions),"4,516",,https://www.relx.com/~/media/Files/R/RELX-Group/documents/responsibility/download-center/2020-cr-report.pdf,1
Wiley,2020,1,scope 1 (direct emissions),"1,815.00",,https://wiley-ecomm-prod-content.s3.amazonaws.com/FY20_Green_House_Gas_Emissions,1
RELX,2021,1,Scope 1 (direct emissions),"5,226.00",,https://www.relx.com/~/media/Files/R/RELX-Group/documents/responsibility/download-center/2021-cr-report.pdf,1
RELX,2016,1,Scope 1 (direct emissions),"7,966",,https://www.relx.com/~/media/Files/R/RELX-Group/documents/responsibility/download-center/2016-cr-report-new.pdf,1
Informa,2016,1,Scope 1 emissions - Total,2997,,https://www.informa.com/sustainability/sustainability-reports/sustainability-kpis-summary/,1
Informa,2017,1,Scope 1 emissions - Total,3205,,https://www.informa.com/sustainability/sustainability-reports/sustainability-kpis-summary/,1
Informa,2018,1,Scope 1 emissions - Total,4776,,https://www.informa.com/sustainability/sustainability-reports/sustainability-kpis-summary/,1
Informa,2019,1,Scope 1 emissions - Total,4134,,https://www.informa.com/sustainability/sustainability-reports/sustainability-kpis-summary/,1
Informa,2020,1,Scope 1 emissions - Total,2822,,https://www.informa.com/sustainability/sustainability-reports/sustainability-kpis-summary/,1
Informa,2021,1,Scope 1 emissions - Total,2692,,https://www.informa.com/sustainability/sustainability-reports/sustainability-kpis-summary/,1
RELX,2006,2,Scope 2,"113,633",,https://www.relx.com/~/media/Files/R/RELX-Group/documents/responsibility/download-center/2010-cr-report.pdf,1
RELX,2007,2,Scope 2,"122,257",,https://www.relx.com/~/media/Files/R/RELX-Group/documents/responsibility/download-center/2010-cr-report.pdf,1
RELX,2008,2,Scope 2,"123,834",,https://www.relx.com/~/media/Files/R/RELX-Group/documents/responsibility/download-center/2010-cr-report.pdf,1
RELX,2009,2,Scope 2,"147,805",,https://www.relx.com/~/media/Files/R/RELX-Group/documents/responsibility/download-center/2010-cr-report.pdf,1
RELX,2010,2,Scope 2,"148,316",,https://www.relx.com/~/media/Files/R/RELX-Group/documents/responsibility/download-center/2010-cr-report.pdf,1
Springer Nature,2018,2,Scope 2,3166,,https://sustainablebusiness.springernature.com/2018/,1
RELX,2011,2,Scope 2 (gross electricity and heat) ,"139,650",,https://www.relx.com/~/media/Files/R/RELX-Group/documents/responsibility/download-center/2011-cr-report.pdf,1
RELX,2012,2,Scope 2 (gross electricity and heat) ,"127,105",,https://www.relx.com/~/media/Files/R/RELX-Group/documents/responsibility/download-center/2012-cr-report.pdf,1
RELX,2013,2,Scope 2 (gross electricity and heat) ,"111,036",,https://www.relx.com/~/media/Files/R/RELX-Group/documents/responsibility/download-center/2013-cr-report.pdf,1
RELX,2014,2,Scope 2 (gross electricity and heat) ,"109,129",,https://www.relx.com/~/media/Files/R/RELX-Group/documents/responsibility/download-center/2014-cr-report.pdf,1
RELX,2015,2,Scope 2 (gross electricity and heat) ,"95,947",,https://www.relx.com/~/media/Files/R/RELX-Group/documents/responsibility/download-center/2015-cr-report.pdf,1
Wiley,2020,2,scope 2 (indirect electricity emissions),"4,510.90",,https://wiley-ecomm-prod-content.s3.amazonaws.com/FY20_Green_House_Gas_Emissions,1
RELX,2016,2,Scope 2 (location-based) emissions,"91,913",,https://www.relx.com/~/media/Files/R/RELX-Group/documents/responsibility/download-center/2016-cr-report-new.pdf,1
RELX,2017,2,Scope 2 (location-based) emissions,"84,590",,https://www.relx.com/~/media/Files/R/RELX-Group/documents/responsibility/download-center/relx2017-cr-report.pdf,1
RELX,2018,2,Scope 2 (location-based) emissions,"74,279",,https://www.relx.com/~/media/Files/R/RELX-Group/documents/responsibility/download-center/2018-cr-report.pdf,1
RELX,2019,2,Scope 2 (location-based) emissions,"68,229",,https://www.relx.com/~/media/Files/R/RELX-Group/documents/responsibility/download-center/2019-cr-report.pdf,1
RELX,2020,2,Scope 2 (location-based) emissions,"53,131",,https://www.relx.com/~/media/Files/R/RELX-Group/documents/responsibility/download-center/2020-cr-report.pdf,1
RELX,2021,2,Scope 2 (location-based) emissions,"43,445.00",,https://www.relx.com/~/media/Files/R/RELX-Group/documents/responsibility/download-center/2021-cr-report.pdf,1
Springer Nature,2021,2,Scope 2 (location-based) emissions,"4,182",,https://sustainablebusiness.springernature.com/2021/assets/files/sustainable-business-report-2021.pdf,1
Springer Nature,2017,2,Scope 2 (location-based) emissions,"12,368",,https://media.springernature.com/full/springer-cms/rest/v1/content/15569814/data/v5,1
Springer Nature,2019,2,Scope 2 (location-based) emissions,"10,894",,https://sustainablebusiness.springernature.com/2021/assets/files/sustainable-business-report-2021.pdf,1
Springer Nature,2020,2,Scope 2 (location-based) emissions,"5,286",,https://sustainablebusiness.springernature.com/2021/assets/files/sustainable-business-report-2021.pdf,1
RELX,2016,2,Scope 2 (market-based) emissions,"32,153",,https://www.relx.com/~/media/Files/R/RELX-Group/documents/responsibility/download-center/2016-cr-report-new.pdf,0
RELX,2017,2,Scope 2 (market-based) emissions,"21,831",,https://www.relx.com/~/media/Files/R/RELX-Group/documents/responsibility/download-center/relx2017-cr-report.pdf,0
RELX,2018,2,Scope 2 (market-based) emissions,"16,004",,https://www.relx.com/~/media/Files/R/RELX-Group/documents/responsibility/download-center/2018-cr-report.pdf,0
RELX,2019,2,Scope 2 (market-based) emissions,"17,704",,https://www.relx.com/~/media/Files/R/RELX-Group/documents/responsibility/download-center/2019-cr-report.pdf,0
RELX,2020,2,Scope 2 (market-based) emissions,"10,773",,https://www.relx.com/~/media/Files/R/RELX-Group/documents/responsibility/download-center/2020-cr-report.pdf,0
RELX,2021,2,Scope 2 (market-based) emissions,"7,715.00",,https://www.relx.com/~/media/Files/R/RELX-Group/documents/responsibility/download-center/2021-cr-report.pdf,0
Springer Nature,2021,2,Scope 2 (market-based) emissions,538,,https://sustainablebusiness.springernature.com/2021/assets/files/sustainable-business-report-2021.pdf,0
Springer Nature,2017,2,Scope 2 (market-based) emissions,"10,540",,https://media.springernature.com/full/springer-cms/rest/v1/content/15569814/data/v5,0
Springer Nature,2019,2,Scope 2 (market-based) emissions,"2,691",,https://sustainablebusiness.springernature.com/2021/assets/files/sustainable-business-report-2021.pdf,0
Springer Nature,2020,2,Scope 2 (market-based) emissions,543,,https://sustainablebusiness.springernature.com/2021/assets/files/sustainable-business-report-2021.pdf,0
Informa,2016,2,Scope 2 emissions (location-based),7164,,https://www.informa.com/sustainability/sustainability-reports/sustainability-kpis-summary/,1
Informa,2017,2,Scope 2 emissions (location-based),6477,,https://www.informa.com/sustainability/sustainability-reports/sustainability-kpis-summary/,1
Informa,2018,2,Scope 2 emissions (location-based),7010,,https://www.informa.com/sustainability/sustainability-reports/sustainability-kpis-summary/,1
Informa,2019,2,Scope 2 emissions (location-based),7026,,https://www.informa.com/sustainability/sustainability-reports/sustainability-kpis-summary/,1
Informa,2020,2,Scope 2 emissions (location-based),5305,,https://www.informa.com/sustainability/sustainability-reports/sustainability-kpis-summary/,1
