#,Subdiscipline,Authors,Title,Year,Type,Journal,Publisher,GScholar_Citations,Link,Exists
1,Clinical Psychology,American Psychiatric Association,Diagnostic and statistical manual of mental disorders (5th ed.).,2013,Book,,American Psychological Association,332732,https://doi.org/10.1176/appi.books.9780890425596,Yes
2,Clinical Psychology,American Psychological Association,Clinical psychology,2017,Online article,,American Psychological Association,,https://www.apa.org/ed/graduate/specialize/clinical,Yes
3,Clinical Psychology,"Andersson, G., Carlbring, P., Lindefors, N., Nyström, M., & Rozental, A.","The Internet, cognitive-behavioral therapy, and psychiatry",2014,Journal article,Harvard Review of Psychiatry,Lippincott Williams & Wilkins,,,No
4,Clinical Psychology,"Cuijpers, P., van Straten, A., Andersson, G., & van Oppen, P. ",Psychotherapy for depression in adults: A meta-analysis of comparative outcome studies,2008,Journal article,Journal of Consulting and Clinical Psychology,American Psychological Association,1390,https://psycnet.apa.org/doi/10.1037/a0013075,Yes
5,Clinical Psychology,"Norcross, J. C., Hogan, T. P., & Koocher, G. P.",Clinician's guide to evidence-based practices: Mental health and the addictions,2008,Book,,Oxford University Press,138,https://doi.org/10.1093/med:psych/9780190621933.001.0001,Yes
6,Clinical Psychology,"Smoller, J. W., Kendler, K., Craddock, N., Lee, P. H., Neale, B. M., Nurnberger, J. I., ... & Sullivan, P. F.",Identification of risk loci with shared effects on five major psychiatric disorders: A genome-wide analysis,2013,Journal article,The Lancet,Elsevier,2800,https://doi.org/10.1016/S0140-6736(12)62129-1,Yes
7,Clinical Psychology,"Hofmann, S. G., Asnaani, A., Vonk, I. J., Sawyer, A. T., & Fang, A.",The efficacy of cognitive behavioral therapy: A review of meta-analyses,2012,Journal article,Cognitive Therapy and Research,Springer Nature,3465,https://doi.org/10.1007/s10608-012-9476-1,Yes
8,Clinical Psychology,American Psychological Association,Stress in America™ 2020,2020,Press release,,American Psychological Association,,https://www.apa.org/news/press/releases/stress/2020/report-october,Yes
9,Clinical Psychology,"Beck, A. T., Rush, A. J., Shaw, B. F., & Emery, G.",Cognitive therapy of depression,1979,Book,,Guilford Press,27539,https://www.guilford.com/books/Cognitive-Therapy-of-Depression/Beck-Rush-Shaw-Emery/9780898629194,Yes
10,Clinical Psychology,"Brown, T. A., & Barlow, D. H.",Dimensional versus categorical classification of mental disorders in the fifth edition of the Diagnostic and Statistical Manual of Mental Disorders and beyond: Comment on the special section,2005,Journal article,Journal of Abnormal Psychology,American Psychological Association,392,https://psycnet.apa.org/doi/10.1037/0021-843X.114.4.551,Yes
11,Clinical Psychology,"Clark, D. M., & Beck, A. T.",Cognitive theory and therapy of anxiety and depression: Convergence with neurobiological findings,2010,Journal article,Trends in Cognitive Sciences,Elsevier,761,https://doi.org/10.1016/j.tics.2010.06.007,Yes
12,Clinical Psychology,"DeRubeis, R. J., Siegle, G. J., & Hollon, S. D.",Cognitive therapy versus medication for depression: Treatment outcomes and neural mechanisms,2008,Journal article,Nature Reviews Neuroscience,Springer Nature,914,https://doi.org/10.1038/nrn2345,Yes
13,Clinical Psychology,"Fava, G. A., & Ruini, C.",Development and characteristics of a well-being enhancing psychotherapeutic strategy: Well-being therapy,2003,Journal article,Journal of Behavior Therapy and Experimental Psychiatry,Elsevier,562,https://doi.org/10.1016/S0005-7916(03)00019-3,Yes
14,Clinical Psychology,"Frank, J. D.",Therapeutic factors in psychotherapy,1973,Journal article,American Journal of Psychotherapy,American Psychological Association,712,https://doi.org/10.1176/appi.psychotherapy.1971.25.3.350,Yes
15,Clinical Psychology,"Goodman, W. K., Price, L. H., Rasmussen, S. A., Mazure, C., Fleischmann, K., Hill, C. L., Heninger, G. R., & Charney, D. S.","The Yale-Brown Obsessive Compulsive Scale: I. Development, use, and reliability",1989,Journal article,Archives of General Psychiatry,American Medical Association,8940,https://doi.org/10.1001/archpsyc.1989.01810110048007,Yes
16,Clinical Psychology,"Grant, J. E., Odlaug, B. L., & Schreiber, L. R.",Pharmacological treatments in pathological gambling,2013,Journal article,British Journal of Clinical Pharmacology,Wiley-Blackwell,107,https://doi.org/10.1111/j.1365-2125.2012.04457.x,Yes
17,Clinical Psychology,"Hofmann, S. G., & Hayes, S. C.",The future of intervention science: Process-based therapy,2019,Journal article,Clinical Psychological Science,SAGE Publishing,601,https://doi.org/10.1177/2167702618772296,Yes
18,Clinical Psychology,"Jacobson, N. S., & Truax, P.",Clinical significance: A statistical approach to defining meaningful change in psychotherapy research,1991,Journal article,Journal of Consulting and Clinical Psychology,American Psychological Association,12136,https://psycnet.apa.org/doi/10.1037/10109-042,Yes
19,Clinical Psychology,"Lambert, M. J.",Outcome in psychotherapy: The past and important advances,2013,Journal article,Psychotherapy,American Psychological Association,412,https://psycnet.apa.org/buy/2013-08252-008,Yes
20,Clinical Psychology,"Leichsenring, F., & Rabung, S.",Effectiveness of long-term psychodynamic psychotherapy: A meta-analysis,2008,Journal article,JAMA Psychiatry,American Medical Association,1208,https://doi.org/10.1001/jama.300.13.1551,Yes
21,Clinical Psychology,"McHugh, R. K., Hearon, B. A., & Otto, M. W.",Cognitive-behavioral therapy for substance use disorders,2010,Journal article,The Psychiatric Clinics of North America,Elsevier,595,https://doi.org/10.1016/j.psc.2010.04.012,Yes
22,Clinical Psychology,"Morris, L., Stander, V. A., & Boswell, J. F.",The effectiveness of behavioral activation therapy for depression: A meta-analysis,2016,Journal article,Journal of Clinical Psychology,Wiley-Blackwell,,,No
23,Clinical Psychology,NICE,Depression in adults: Recognition and management,2018,Clinical guideline,,National Institute for Health and Care Excellence,,https://www.nice.org.uk/guidance/ng222,Yes
24,Clinical Psychology,"Wu, J. Q., Szczepanik, J., & McCarron, R. M. ",Pharmacologic management of anxiety disorders in the elderly,2016,Journal article,Current Psychiatry Reports,Springer Nature,,,No
25,Developmental Psychology,"Bowlby, J.",Attachment and Loss: Vol. 1,1969,Book,,Basic Books,69419,https://scholar.google.com/scholar_lookup?&title=Attachment%20and%20loss%3A%20Attachment&publication_year=1969&author=Bowlby%2CJ,Yes
26,Developmental Psychology,"Heckman, J. J.",Skill formation and the economics of investing in disadvantaged children,2006,Journal article,Science,American Association for the Advancement of Science,4921,https://doi.org/10.1126/science.1128898,Yes
