"CASE","STARTED","EE01","HH01_01","HH01_02","HH01_03","HH01_04","HH01_05","HH01_06","HH01_07","HH01_08","HH01_09","HH01_10","HH01_11","HH01_12","HH01_13","HH01_14","HH01_15","HH01_16","IV01_01","IV01_02","IV01_03","IV01_04","IV01_05","IV01_06","IV01_07","IV01_08","IV01_09","IV01_10","IV01_11","IV01_12","IV01_13","IV01_14","IV01_15","IV01_16","IV01_17","IV01_18","IV01_19","IV01_20","IV01_21","IV01_22","IV01_23","IV01_24","IV01_25","IV01_26","IV01_27","IV01_28","IV01_29","IV01_30","IV01_31","IV01_32","IV01_33","IV01_34","IV01_35","IV01_36","IV01_37","IV01_38","IV01_39","IV01_40","IV01_41","IV01_42","IV01_43","IV01_44","IV01_45","IV01_46","IV01_47","IV01_48","IV01_49","IV01_50","IV01_51","IV01_52","IV01_53","IV01_54","IV01_55","IV01_56","IV01_57","IV01_58","IV01_59","IV01_60","IV01_61","IV01_62","IV01_63","IV01_64","IV01_65","IV01_66","IV01_67","IV02_01","IV02_02","IV02_03","KV01","KV02","KV03","KV04","KV05","KV06","RA01_01","RA01_02","SA01_01","SA02_01","SA03_01","SA04_01","SA05_01","SA06_01","SA07_01","SA08_01","SA09_01","SA10_01","SA11_01","SA12_01","SA13_01","SA14_01","SA15_01","SA16_01","SA17_01","SA18_01","SA19_01","SA20_01","SA21_01","SA22_01","SA23_01","SA24_01","SA25_01","SA26_01","SA27_01","SA28_01","SA29_01","SA30_01","SA31_01","SA32_01","SA33_01","SA34_01","SA35_01","SA36_01","SA37_01","SA38_01","SA39_01","SA40_01","SA41_01","SA42_01","SA43_01","SA44_01","SA45_01","SA46_01","SA47_01","SA48_01","SA49_01","SA50_01","SA51_01","SA52_01","SA53_01","SA54_01","SA55_01","SA56_01","SA57_01","SA58_01","SA59_01","SA60_01","SA61_01","SA62_01","SA63_01","SA64_01","SA65_01","SA66_01","SA67_01","SV01","SV02","SV03","SV04","SV05","SV06","SV07","SV08","SV09","SV10","SV11","SV12","SV13","SV14","SV15","TIME001","TIME002","TIME003","TIME004","TIME005","TIME006","TIME007","TIME008","TIME009","TIME011","TIME012","TIME014","TIME015","TIME017","TIME019","TIME020","TIME021","TIME022","TIME023","TIME024","TIME025","TIME026","TIME027","TIME028","TIME029","TIME030","TIME031","TIME032","TIME033","TIME034","TIME035","TIME036","TIME037","TIME038","TIME039","TIME040","TIME041","TIME042","TIME043","TIME044","TIME045","TIME046","TIME047","TIME048","TIME049","TIME050","TIME051","TIME052","TIME053","TIME054","TIME055","TIME056","TIME057","TIME058","TIME059","TIME060","TIME061","TIME062","TIME063","TIME064","TIME065","TIME066","TIME067","TIME068","TIME069","TIME070","TIME071","TIME072","TIME073","TIME074","TIME075","TIME076","TIME077","TIME078","TIME079","TIME080","TIME081","TIME082","TIME083","TIME084","TIME085","TIME086","TIME087","TIME_SUM","LASTDATA","LASTPAGE","MISSING","MISSREL","TIME_RSI"
744,"28.11.2023 11:57",1,5,5,2,5,2,2,1,5,4,5,1,1,5,4,2,2,11,65,40,64,42,41,28,7,2,60,43,57,37,15,46,3,12,39,58,44,32,59,38,50,49,33,4,10,48,34,27,29,35,52,61,62,9,45,30,47,31,6,25,14,51,53,63,18,5,55,21,54,8,36,66,17,26,22,23,13,16,19,56,67,24,1,20,0,9,13,27,2,6,1,2,2,8,3,39,61,33,28,35,53,36,27,94,51,54,34,40,39,61,96,59,39,42,56,36,34,36,64,33,50,88,60,56,42,64,68,50,54,31,35,30,61,38,32,61,73,56,72,31,31,36,62,30,24,31,72,97,39,41,34,39,39,52,38,60,37,39,39,44,95,69,1,8,9,4,5,5,6,9,4,5,9,9,5,1,2,9,22,121,101,32,56,159,24,22,4,144,9,63,56,1,1,2,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1,2,3,2,2,1,1,3,1,2,2,1,1,2,1,1,1,2,2,1,1,1,2,1,1,1,1,2,2,1,1,4,2,1,1,2,1,1,2,1,5,1,2,1,1,3,1,1,13,2,13,10,959,"28.11.2023 12:13",87,1,0,2.49
749,"28.11.2023 17:21",1,3,1,3,5,2,1,1,3,2,1,3,3,3,1,3,2,44,17,63,6,43,10,57,25,4,38,60,61,46,28,35,66,64,51,18,45,34,52,39,42,37,62,33,48,26,55,16,5,3,56,47,50,53,20,13,8,36,14,30,31,54,40,24,2,21,65,11,15,29,67,27,32,7,22,59,23,19,41,1,58,12,49,9,1,5,0,61,2,4,2,2,2,8,8,8,20,7,88,9,89,6,15,84,6,5,6,90,81,84,91,101,94,85,91,75,96,94,88,91,101,82,86,81,6,4,81,88,7,96,94,91,22,85,83,92,19,16,7,1,6,1,91,80,100,89,80,82,94,20,12,10,11,6,15,84,89,100,55,79,96,83,6,8,9,7,1,1,1,9,1,1,9,9,9,1,9,13,46,129,276,53,18,225,44,90,52,169,28,20,72,5,6,4,5,4,5,3,8,30,6,5,4,5,7,4,4,4,3,13,4,7,4,5,4,4,3,7,4,17,6,7,10,21,4,4,5,4,15,6,15,5,22,6,7,5,4,12,28,6,4,10,6,9,4,17,5,16,7,4,22,23,3,47,5,18,6,5,28,39,1847,"28.11.2023 17:52",87,1,0,0.97
750,"28.11.2023 17:52",1,3,2,4,2,3,2,1,4,1,4,1,1,4,2,1,1,56,65,36,14,59,6,38,7,30,21,23,53,35,1,32,63,43,50,9,57,67,54,39,31,16,66,61,60,46,24,51,27,4,29,22,47,48,3,52,62,37,44,12,5,13,25,45,64,18,55,8,17,40,34,42,10,58,33,19,49,41,11,15,2,20,26,28,0,1,0,23,2,4,2,2,1,8,1,1,1,1,11,1,1,1,1,1,1,1,1,101,101,101,101,101,101,20,1,101,1,1,1,50,101,1,1,1,1,1,1,1,101,101,101,101,101,101,101,101,1,1,1,8,1,101,101,101,101,101,101,101,101,52,85,1,1,101,101,101,101,101,101,101,101,101,1,9,9,5,5,9,6,5,4,7,5,9,5,3,1,7,27,100,87,534,83,196,40,28,88,142,27,13,93,13,3,3,3,4,8,2,6,31,5,7,4,3,15,4,7,3,7,15,4,11,6,3,4,20,4,2,3,9,8,2,4,9,3,2,4,2,7,3,3,4,6,7,17,4,9,5,8,7,4,5,8,3,2,7,9,2,2,4,2,2,7,4,44,18,6,4,25,23,1405,"28.11.2023 18:25",87,1,0,1.27
751,"28.11.2023 19:08",1,3,1,3,2,4,1,3,5,1,5,3,3,5,1,3,3,27,46,45,34,59,19,58,36,3,22,37,9,30,47,32,49,12,67,13,43,28,5,16,7,62,18,55,61,50,52,1,6,57,10,24,31,39,51,38,66,40,4,21,41,23,53,11,15,2,20,26,35,60,54,14,33,42,64,63,17,65,44,25,29,56,8,48,0,0,0,23,1,6,2,1,1,6,4,55,1,1,1,1,1,1,1,1,1,1,1,101,101,101,52,101,101,101,1,101,101,101,1,50,53,1,1,1,1,1,1,1,52,101,101,101,101,101,101,101,50,1,1,1,1,101,101,101,101,101,101,101,101,52,1,1,1,101,101,101,101,101,101,101,101,101,1,9,9,9,1,1,1,9,1,1,9,9,9,1,9,214,18,86,88,35,15,210,22,36,19,46,14,17,46,11,7,4,6,11,15,17,8,61,31,19,10,8,13,24,34,8,8,11,7,24,23,10,14,6,5,6,4,44,4,58,19,49,36,6,4,11,9,12,13,11,51,9,5,7,28,27,6,27,6,10,6,7,9,9,19,4,4,6,21,6,14,8,5,6,21,5,23,17,1490,"28.11.2023 19:40",87,1,0,0.74
752,"28.11.2023 20:23",1,3,5,3,3,1,2,2,3,2,2,2,3,2,4,2,4,19,66,33,14,15,3,32,65,57,34,43,45,18,51,13,39,11,4,41,60,36,29,38,31,27,53,46,61,63,62,5,20,55,9,58,10,59,1,24,8,28,16,40,50,25,12,26,44,2,23,54,64,6,21,7,37,49,52,30,56,35,17,22,67,48,42,47,0,5,3,24,1,3,2,2,1,7,4,58,5,24,1,13,1,11,5,92,85,7,8,101,93,82,96,87,7,90,91,87,81,71,1,55,6,17,97,93,11,14,55,12,46,94,89,92,98,78,45,68,80,16,7,71,53,53,86,91,24,93,94,79,55,50,85,13,10,44,6,52,101,85,8,100,85,10,5,9,1,1,1,2,1,5,3,1,9,9,9,1,9,5,25,47,76,57,9,116,14,88,32,422,6,85,13,3,5,4,6,8,9,5,5,14,3,6,6,7,4,6,5,7,6,40,4,17,11,68,8,4,4,5,6,5,6,8,2,7,4,3,7,5,16,13,4,9,6,26,9,6,4,20,4,9,11,4,7,5,5,6,21,5,4,3,7,7,7,4,7,6,13,4,18,39,1136,"28.11.2023 20:50",87,1,0,1.1
753,"29.11.2023 09:28",1,3,1,4,5,2,1,3,4,3,2,3,1,2,4,4,2,36,63,38,56,66,41,24,19,4,25,13,62,52,65,16,67,43,5,9,33,3,51,32,49,54,40,2,48,61,22,39,14,64,26,30,35,23,34,6,57,20,59,27,44,55,53,28,17,58,15,12,18,31,60,46,21,50,42,29,1,8,45,37,7,11,47,10,0,1,0,24,2,3,2,2,1,2,2,49,47,84,53,45,51,50,47,27,51,32,49,43,50,80,49,47,89,8,51,52,36,49,46,51,35,101,53,49,46,42,85,55,55,50,46,55,55,41,33,41,55,33,50,49,36,52,35,30,14,54,78,55,58,46,21,44,36,49,1,46,50,37,81,56,51,98,3,9,9,5,5,9,6,9,3,7,6,8,5,2,3,8,21,66,56,104,10,1024,41,19,197,461,17,18,55,1,1,2,2,1,3,2,3,3,2,2,3,2,3,2,2,2,3,2,2,13,2,1,3,2,3,10,1,3,2,2,3,2,2,1,2,1,2,3,3,1,2,1,8,2,1,2,3,2,1,11,2,2,3,2,2,2,1,2,12,3,2,2,1,9,2,13,66,1642,1091,"29.11.2023 10:34",87,1,0,2.1
755,"29.11.2023 17:29",1,3,4,5,4,2,4,2,4,4,4,2,2,3,4,2,3,48,42,26,7,33,60,17,50,39,15,28,57,30,3,5,29,35,49,54,56,20,18,37,65,25,12,44,10,1,31,14,38,66,61,32,13,53,34,36,52,9,41,51,47,67,58,45,6,43,19,11,55,2,16,64,59,8,40,27,22,4,23,21,46,62,24,63,0,4,1,23,2,4,2,2,1,6,2,1,1,1,1,1,1,1,1,101,1,1,101,101,91,97,101,101,1,101,1,101,1,1,71,101,4,101,2,13,1,1,1,91,101,101,101,101,101,101,1,89,101,1,1,1,101,101,101,101,101,100,1,99,101,87,101,7,1,101,101,101,101,101,101,1,101,1,1,9,1,1,9,9,7,1,9,9,1,8,5,5,1,21,13,4,39,51,20,146,4,10,29,280,12,20,90,5,5,6,11,4,6,10,8,10,3,4,8,3,8,9,6,3,6,4,3,4,6,7,7,4,5,4,4,23,3,4,3,5,6,3,5,3,3,5,5,3,8,2,2,6,3,3,8,3,4,3,7,11,4,5,3,10,4,2,3,6,2,4,3,3,22,5,25,22,903,"29.11.2023 17:48",87,1,0,1.4
757,"01.12.2023 09:15",1,2,5,2,5,1,1,4,1,1,1,1,1,1,3,4,1,35,62,66,42,48,34,27,12,3,18,20,61,26,55,59,57,5,51,53,58,67,47,40,45,54,24,10,43,22,44,46,2,60,1,50,65,7,41,33,28,21,52,23,14,17,8,31,56,19,36,6,29,64,4,15,38,25,37,49,9,63,32,11,39,13,30,16,0,5,1,23,1,3,2,2,1,9,10,101,9,16,1,101,85,101,1,101,101,101,17,101,101,98,101,101,101,53,85,101,52,101,101,52,101,101,1,1,1,1,1,101,101,101,85,101,94,86,1,1,101,1,1,1,101,101,91,101,101,1,101,88,1,48,1,1,1,101,101,94,87,101,69,101,1,48,1,8,9,4,5,9,6,5,4,7,5,8,5,3,2,4,16,2,77,59,14,189,26,24,49,271,1,32,31,8,13,5,3,6,4,7,10,6,11,9,10,7,7,15,6,7,7,12,32,10,8,14,6,9,7,7,3,9,5,4,6,6,14,4,4,9,5,4,11,10,9,5,4,5,5,5,9,4,3,8,5,12,9,7,8,5,4,6,4,8,14,4,5,4,4,7,22,55,1131,"01.12.2023 09:38",87,1,0,1.03
759,"01.12.2023 16:41",1,3,2,3,5,2,4,3,4,2,4,1,1,4,2,2,2,41,22,28,55,39,5,24,51,63,8,13,53,66,32,31,43,36,18,61,14,11,65,34,58,1,10,15,40,42,38,57,33,27,64,62,37,45,56,54,59,19,26,3,9,35,29,44,50,6,52,4,60,25,20,49,17,30,47,12,21,16,23,2,7,67,48,46,0,0,0,23,2,6,1,1,1,3,3,3,1,1,1,79,1,3,1,101,92,5,1,101,101,101,100,100,101,101,101,101,101,101,101,50,9,17,2,11,10,14,2,81,101,101,101,101,101,101,101,52,13,2,1,1,79,90,99,101,101,101,101,101,51,50,15,11,1,1,50,101,99,101,101,101,101,53,1,9,9,1,5,9,6,5,4,9,5,9,5,1,1,6510,23,115,194,103,28,203,80,23,90,22,19,22,62,15,15,11,4,9,32,8,5,4,31,22,4,3,5,8,9,4,18,4,11,33,4,4,4,41,11,18,15,17,12,12,7,13,5,2,3,4,3,4,3,15,6,46,44,4,26,9,3,20,4,30,3,7,6,5,15,9,9,30,9,7,7,29,36,3,10,20,38,43,1763,"01.12.2023 19:01",87,1,0,0.81
760,"03.12.2023 18:44",1,3,1,3,5,5,1,1,5,2,5,1,1,4,1,1,1,1,23,20,37,36,19,67,65,21,39,30,12,26,33,40,16,46,5,45,18,7,32,66,31,25,55,9,58,63,29,64,4,6,53,11,13,22,8,44,60,47,43,49,56,54,62,41,10,35,57,52,50,42,34,61,17,59,24,28,15,38,48,2,14,27,51,3,0,1,1,57,1,5,2,2,1,7,6,5,1,2,5,3,1,3,1,4,4,1,1,101,99,101,1,101,98,101,100,101,101,101,101,101,100,52,1,5,1,1,3,101,2,94,100,2,2,100,101,100,1,4,1,2,2,1,100,101,101,6,100,100,101,1,2,1,1,2,3,101,100,94,51,100,99,97,9,1,9,9,1,1,1,9,1,1,9,9,9,1,9,246,54,119,157,55,22,231,115,52,144,334,31,42,108,22,6,6,4,3,9,4,5,9,4,13,10,9,9,5,12,8,8,4,15,4,7,4,5,9,6,10,6,4,7,5,10,9,11,18,6,14,16,3,10,4,3,3,5,4,7,4,12,5,3,8,4,3,5,5,14,7,11,5,7,4,3,14,10,6,6,19,52,38,1775,"03.12.2023 19:22",87,1,0,0.91
