ID;NAME;STATUS;PREFIXES AS URL;PREFIXES AS LRU;HOME PAGE;START PAGES;CRAWLED;CRAWLING STATUS;INDEXING STATUS;INDEGREE;OUTDEGREE;NEIGHBOORS COUNT;TOTAL KNOWN PAGES;CRAWLED PAGES;CREATION TIMESTAMP;CREATION DATE;LAST MODIFICATION TIMESTAMP;LAST MODIFICATION DATE;Press (TAGS);HigherEd (TAGS);National Orgs (TAGS);AfroLatinAmericanWeb (TAGS);Arts&Entertainement (TAGS);Latin American Web (TAGS);AfricanWeb (TAGS);AfricanAmericanWeb (TAGS);Web Commons (TAGS);other (TAGS);createdBy (TECHNICAL INFO);mergedWebEntities (TECHNICAL INFO);recrawlNeeded (TECHNICAL INFO)
66;Universitypressscholarship.com;IN;http://universitypressscholarship.com http://www.universitypressscholarship.com https://universitypressscholarship.com https://www.universitypressscholarship.com;s:https|h:com|h:universitypressscholarship| s:https|h:com|h:universitypressscholarship|h:www| s:http|h:com|h:universitypressscholarship| s:http|h:com|h:universitypressscholarship|h:www|;http://www.universitypressscholarship.com;;FALSE;UNCRAWLED;UNINDEXED;1;0;1;1;0;1,57E+12;2019-10-30T14:03:57.853Z;1,57E+12;2019-11-07T14:16:16.227Z;press;;;;;;;;;;;;
69;Ucla.edu;IN;http://ucla.edu http://www.ucla.edu https://ucla.edu https://www.ucla.edu;s:https|h:edu|h:ucla| s:https|h:edu|h:ucla|h:www| s:http|h:edu|h:ucla| s:http|h:edu|h:ucla|h:www|;http://www.ucla.edu;;FALSE;UNCRAWLED;UNINDEXED;1;0;1;8;0;1,57E+12;2019-10-30T14:03:57.853Z;1,57E+12;2019-11-07T14:12:08.704Z;;edu;;;;;;;;;;;
70;Jhu.edu;IN;http://jhu.edu http://www.jhu.edu https://jhu.edu https://www.jhu.edu;s:https|h:edu|h:jhu| s:https|h:edu|h:jhu|h:www| s:http|h:edu|h:jhu| s:http|h:edu|h:jhu|h:www|;http://www.jhu.edu;;FALSE;UNCRAWLED;UNINDEXED;1;0;1;10;0;1,57E+12;2019-10-30T14:03:57.854Z;1,57E+12;2019-11-07T14:12:08.439Z;;edu;;;;;;;;;;;
128;Rumble.com;IN;http://rumble.com http://www.rumble.com https://rumble.com https://www.rumble.com;s:https|h:com|h:rumble| s:https|h:com|h:rumble|h:www| s:http|h:com|h:rumble| s:http|h:com|h:rumble|h:www|;http://www.rumble.com;;FALSE;UNCRAWLED;UNINDEXED;1;0;1;1;0;1,57E+12;2019-10-30T14:03:58.738Z;1,57E+12;2019-11-14T14:00:18.650Z;press;;;;;;;;;;;;
129;Cuba.cu;IN;http://cuba.cu http://www.cuba.cu https://cuba.cu https://www.cuba.cu;s:https|h:cu|h:cuba| s:https|h:cu|h:cuba|h:www| s:http|h:cu|h:cuba| s:http|h:cu|h:cuba|h:www|;http://www2.cuba.cu;;FALSE;UNCRAWLED;UNINDEXED;2;0;2;9;0;1,57E+12;2019-10-30T14:03:58.738Z;1,57E+12;2019-11-07T15:07:28.625Z;press;;Cuban govt;;;;;;;;;;
131;Lameca.org;IN;http://lameca.org http://www.lameca.org https://lameca.org https://www.lameca.org;s:https|h:org|h:lameca| s:https|h:org|h:lameca|h:www| s:http|h:org|h:lameca| s:http|h:org|h:lameca|h:www|;http://www.lameca.org;;FALSE;UNCRAWLED;UNINDEXED;1;0;1;3;0;1,57E+12;2019-10-30T14:03:58.739Z;1,57E+12;2019-11-13T20:21:54.906Z;;;;resources;;;;;;;;;
133;Radioelsalsero.com;IN;http://radioelsalsero.com http://www.radioelsalsero.com https://radioelsalsero.com https://www.radioelsalsero.com;s:https|h:com|h:radioelsalsero| s:https|h:com|h:radioelsalsero|h:www| s:http|h:com|h:radioelsalsero| s:http|h:com|h:radioelsalsero|h:www|;http://www.radioelsalsero.com;;FALSE;UNCRAWLED;UNINDEXED;1;0;1;1;0;1,57E+12;2019-10-30T14:03:58.739Z;1,57E+12;2019-11-07T14:51:26.538Z;radio;;;;;;;;;;;;
134;Worldmusiccentral.org;IN;http://worldmusiccentral.org http://www.worldmusiccentral.org https://worldmusiccentral.org https://www.worldmusiccentral.org;s:https|h:org|h:worldmusiccentral| s:https|h:org|h:worldmusiccentral|h:www| s:http|h:org|h:worldmusiccentral| s:http|h:org|h:worldmusiccentral|h:www|;http://www.worldmusiccentral.org;;FALSE;UNCRAWLED;UNINDEXED;1;0;1;2;0;1,57E+12;2019-10-30T14:03:58.739Z;1,57E+12;2019-11-07T14:28:30.064Z;;;;;music & dance service & prod;;;;;;;;
73;Npr.org;IN;http://npr.org http://www.npr.org https://npr.org https://www.npr.org;s:https|h:org|h:npr| s:https|h:org|h:npr|h:www| s:http|h:org|h:npr| s:http|h:org|h:npr|h:www|;http://www.npr.org;;FALSE;UNCRAWLED;UNINDEXED;1;0;1;7;0;1,57E+12;2019-10-30T14:03:58.739Z;1,57E+12;2019-11-08T17:17:09.306Z;press;;;;;;;;;;;;
74;Pedroperezsarduy.blogspot.com;IN;http://pedroperezsarduy.blogspot.com http://www.pedroperezsarduy.blogspot.com https://pedroperezsarduy.blogspot.com https://www.pedroperezsarduy.blogspot.com;s:https|h:blogspot.com|h:pedroperezsarduy| s:https|h:blogspot.com|h:pedroperezsarduy|h:www| s:http|h:blogspot.com|h:pedroperezsarduy| s:http|h:blogspot.com|h:pedroperezsarduy|h:www|;http://pedroperezsarduy.blogspot.com;;FALSE;UNCRAWLED;UNINDEXED;1;0;1;4;0;1,57E+12;2019-10-30T14:03:58.739Z;1,57E+12;2019-11-08T14:15:59.413Z;;;;Academic Research;;;;;;;;;
75;Prensa-Latina.cu;IN;http://prensa-latina.cu http://www.prensa-latina.cu https://prensa-latina.cu https://www.prensa-latina.cu;s:https|h:cu|h:prensa-latina| s:https|h:cu|h:prensa-latina|h:www| s:http|h:cu|h:prensa-latina| s:http|h:cu|h:prensa-latina|h:www|;http://www.prensa-latina.cu;;FALSE;UNCRAWLED;UNINDEXED;1;0;1;9;0;1,57E+12;2019-10-30T14:03:58.739Z;1,57E+12;2019-11-07T15:07:28.618Z;press;;;;;;;;;;;;
77;Plenglish.com;IN;http://plenglish.com http://www.plenglish.com https://plenglish.com https://www.plenglish.com;s:https|h:com|h:plenglish| s:https|h:com|h:plenglish|h:www| s:http|h:com|h:plenglish| s:http|h:com|h:plenglish|h:www|;http://www.plenglish.com;;FALSE;UNCRAWLED;UNINDEXED;1;0;1;9;0;1,57E+12;2019-10-30T14:03:58.739Z;1,57E+12;2019-11-14T13:41:06.908Z;press;;;;;;;;;;;;
80;Oncubamagazine.com;IN;http://oncubamagazine.com http://www.oncubamagazine.com https://oncubamagazine.com https://www.oncubamagazine.com;s:https|h:com|h:oncubamagazine| s:https|h:com|h:oncubamagazine|h:www| s:http|h:com|h:oncubamagazine| s:http|h:com|h:oncubamagazine|h:www|;http://www.oncubamagazine.com;;FALSE;UNCRAWLED;UNINDEXED;3;0;3;21;0;1,57E+12;2019-10-30T14:03:58.739Z;1,57E+12;2019-11-08T17:17:09.309Z;press;;;;;;;;;;;;
84;Cubaencuentro.com;IN;http://cubaencuentro.com http://www.cubaencuentro.com https://cubaencuentro.com https://www.cubaencuentro.com;s:https|h:com|h:cubaencuentro| s:https|h:com|h:cubaencuentro|h:www| s:http|h:com|h:cubaencuentro| s:http|h:com|h:cubaencuentro|h:www|;http://www.cubaencuentro.com;;FALSE;UNCRAWLED;UNINDEXED;1;0;1;12;0;1,57E+12;2019-10-30T14:03:58.739Z;1,57E+12;2019-11-08T17:09:48.110Z;press;;;;;;;;;;;;
85;Mundoafrolatino.com;IN;http://mundoafrolatino.com http://www.mundoafrolatino.com https://mundoafrolatino.com https://www.mundoafrolatino.com;s:https|h:com|h:mundoafrolatino| s:https|h:com|h:mundoafrolatino|h:www| s:http|h:com|h:mundoafrolatino| s:http|h:com|h:mundoafrolatino|h:www|;http://www.mundoafrolatino.com;;FALSE;UNCRAWLED;UNINDEXED;1;0;1;1;0;1,57E+12;2019-10-30T14:03:58.739Z;1,57E+12;2019-11-13T20:57:34.305Z;;;;Activism;;;;;;;;;
86;Cubaweb.cu;IN;http://cubaweb.cu http://www.cubaweb.cu https://cubaweb.cu https://www.cubaweb.cu;s:https|h:cu|h:cubaweb| s:https|h:cu|h:cubaweb|h:www| s:http|h:cu|h:cubaweb| s:http|h:cu|h:cubaweb|h:www|;http://www.cubaweb.cu/arte.htm;;FALSE;UNCRAWLED;UNINDEXED;2;0;2;50;0;1,57E+12;2019-10-30T14:03:58.739Z;1,57E+12;2019-11-07T15:07:28.637Z;press;;;;;;;;;;;;
87;Radioangulo.cu;IN;http://radioangulo.cu http://www.radioangulo.cu https://radioangulo.cu https://www.radioangulo.cu;s:https|h:cu|h:radioangulo| s:https|h:cu|h:radioangulo|h:www| s:http|h:cu|h:radioangulo| s:http|h:cu|h:radioangulo|h:www|;http://www.radioangulo.cu;;FALSE;UNCRAWLED;UNINDEXED;1;0;1;2;0;1,57E+12;2019-10-30T14:03:58.739Z;1,57E+12;2019-11-07T14:51:26.536Z;radio;;;;;;;;;;;;
88;Adelante.cu;IN;http://adelante.cu http://www.adelante.cu https://adelante.cu https://www.adelante.cu;s:https|h:cu|h:adelante| s:https|h:cu|h:adelante|h:www| s:http|h:cu|h:adelante| s:http|h:cu|h:adelante|h:www|;http://www.adelante.cu;;FALSE;UNCRAWLED;UNINDEXED;1;0;1;6;0;1,57E+12;2019-10-30T14:03:58.739Z;1,57E+12;2019-11-07T15:07:28.611Z;press;;;;;;;;;;;;
